Aluminum,550,.012,550,.012,4570,.02,4570,.02
Steel,150,.01,160,.01,1325,.0079,1475,.0079
Brass,350,.012,350,.012,1680,.016,1680,.016
Cast Iron, 80,.01,80,.01,365,.016,945,.016
